"","Estimate..ANCESTRY...Total.population...American","Estimate..COMMUTING.TO.WORK...Workers.16.years.and.over...Worked.at.home","Estimate..FERTILITY...Number.of.women.15.to.50.years.old.who.had.a.birth.in.the.past.12.months","Estimate..GRANDPARENTS...Number.of.grandparents.living.with.own.grandchildren.under.18.years","Estimate..HOUSEHOLDS.BY.TYPE...Average.family.size","Estimate..HOUSEHOLDS.BY.TYPE...Average.household.size","Estimate..INDUSTRY...Civilian.employed.population.16.years.and.over...Agriculture..forestry..fishing.and.hunting..and.mining","Estimate..RACE...One.race...American.Indian.and.Alaska.Native","Estimate..RACE...One.race...American.Indian.and.Alaska.Native...Cherokee.tribal.grouping","Estimate..RACE...One.race...American.Indian.and.Alaska.Native...Chippewa.tribal.grouping","Estimate..RACE...One.race...American.Indian.and.Alaska.Native...Navajo.tribal.grouping","Estimate..RACE...One.race...American.Indian.and.Alaska.Native...Sioux.tribal.grouping","Estimate..RACE...One.race...Asian...Asian.Indian","Estimate..RACE...One.race...Asian...Other.Asian","Estimate..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander","Estimate..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Guamanian.or.Chamorro","Estimate..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Native.Hawaiian","Estimate..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Other.Pacific.Islander","Estimate..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Samoan","Estimate..RACE...Two.or.more.races...Black.or.African.American.and.American.Indian.and.Alaska.Native","Estimate..RACE...Two.or.more.races...White.and.American.Indian.and.Alaska.Native","Percent..RACE...One.race...American.Indian.and.Alaska.Native...Cherokee.tribal.grouping","Percent..RACE...One.race...American.Indian.and.Alaska.Native...Chippewa.tribal.grouping","Percent..RACE...One.race...American.Indian.and.Alaska.Native...Navajo.tribal.grouping","Percent..RACE...One.race...American.Indian.and.Alaska.Native...Sioux.tribal.grouping","Percent..RACE...One.race...Asian","Percent..RACE...One.race...Asian...Asian.Indian","Percent..RACE...One.race...Asian...Chinese","Percent..RACE...One.race...Asian...Filipino","Percent..RACE...One.race...Asian...Japanese","Percent..RACE...One.race...Asian...Korean","Percent..RACE...One.race...Asian...Other.Asian","Percent..RACE...One.race...Asian...Vietnamese","Percent..RACE...One.race...Black.or.African.American","Percent..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander","Percent..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Guamanian.or.Chamorro","Percent..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Native.Hawaiian","Percent..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Other.Pacific.Islander","Percent..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Samoan","Percent..RACE...One.race...White","Percent..RACE...Two.or.more.races","Percent..RACE...Two.or.more.races...Black.or.African.American.and.American.Indian.and.Alaska.Native","Percent..RACE...Two.or.more.races...White.and.American.Indian.and.Alaska.Native","Percent..RACE...Two.or.more.races...White.and.Asian","Percent..RACE...Two.or.more.races...White.and.Black.or.African.American","Percent..SCHOOL.ENROLLMENT...Population.3.years.and.over.enrolled.in.school...Elementary.school..grades.1.8.","Percent..SEX.AND.AGE...10.to.14.years","Percent..SEX.AND.AGE...15.to.19.years","Percent..SEX.AND.AGE...25.to.34.years","Percent..SEX.AND.AGE...35.to.44.years","Percent..SEX.AND.AGE...45.to.54.years","Percent..SEX.AND.AGE...5.to.9.years","Percent..SEX.AND.AGE...55.to.59.years","Percent..SEX.AND.AGE...60.to.64.years","Percent..SEX.AND.AGE...62.years.and.over","Percent..SEX.AND.AGE...65.to.74.years","Percent..SEX.AND.AGE...Under.5.years","Annual_MIR"
"2764",194,138,81,207,3.44,2.95,0,0,0,0,0,0,230,88,0,0,0,0,0,0,17,0,0,0,0,19.1,3.9,1,9.1,0,1,1.5,2.6,15.1,0,0,0,0,0,62.4,1.5,0,0.3,0.1,0,39,5.9,7.3,7.6,14.1,17.3,7.2,6.9,5.6,18.1,7.5,5,357.304363419239
"2765",341,0,41,245,3.59,3.18,0,0,0,0,0,0,203,379,0,0,0,0,0,0,0,0,0,0,0,21.2,3,2.9,4.2,0,2.2,5.5,3.3,4,0,0,0,0,0,70.2,3.4,0,0,0.4,2,32.4,6,6.8,12.3,12.8,16.1,5.9,8.3,3.4,15.6,7.5,6.8,146.201099782941
"2766",36,32,9,12,3.39,2.84,0.8,0,0,0,0,0,65,133,0,0,0,0,0,0,0,0,0,0,0,25,2,4.8,8.5,0.3,0.9,4.2,4.3,9.4,0,0,0,0,0,59.2,3.3,0,0,0,1.4,35.4,5.8,2.7,16.8,7.6,17.5,4.2,8.8,10.2,20.7,6.8,4.3,92.757871507754
"2767",24,76,62,25,3.57,3.1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.3,1.3,0.3,0,0.3,0,1,39.9,0,0,0,0,0,48.4,2.3,0,0,0.2,1.6,31.5,4.5,9.6,15.8,15.9,17.1,8,3.4,3.9,11.6,5,6.2,189.325349118834
"2768",165,49,51,406,4.34,3.35,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.2,0.5,0,0,0,0,0.2,72.7,0,0,0,0,0,20.7,0.3,0,0,0,0,41.6,7.9,5.5,15,10.8,15,6.8,4.7,4.7,15.2,6.7,7.6,173.717436886063
"2769",232,41,23,56,3.17,2.55,0,8,0,0,0,0,111,20,0,0,0,0,0,0,9,0,0,0,0,15,2.8,1.7,2.2,0.5,6.4,0.5,0.9,13.1,0,0,0,0,0,67.3,1.4,0,0.2,0.8,0.2,25.8,2.2,5.2,15.5,8,14.2,3.6,8.2,8.7,31.8,9.8,3.5,394.259288798161
"2770",170,79,7,22,3.06,2.72,0,0,0,0,0,0,285,64,0,0,0,0,0,17,0,0,0,0,0,29.3,9.8,8.5,4.5,0.2,1.7,2.2,2.4,5.1,0,0,0,0,0,63.8,1.1,0.6,0,0,0,31,6.8,7.4,8,11,16.9,5.6,6.4,7.4,22.7,8.3,6.2,164.717631174202
"2772",125,131,7,43,3.16,2.52,0,0,0,0,0,0,177,27,0,0,0,0,0,0,0,0,0,0,0,10.1,4.6,0,1.1,0,3.7,0.7,0,4.5,0,0,0,0,0,80.7,0,0,0,0,0,38,6.6,5.2,15.2,13,17.4,3.2,9,7.3,17,5.5,3.4,565.160494677048
"2773",58,76,98,178,3.25,2.53,0,0,0,0,0,0,407,59,0,0,0,0,0,0,0,0,0,0,0,14.2,6.4,1.5,0.6,0.2,1,0.9,3.6,5.5,0,0,0,0,0,66.6,2.5,0,0,0.8,0.4,39.2,5,3.6,18.9,13.4,12.6,9.1,8.7,4.7,12.1,3.5,6.3,84.3905217295347
"2774",65,81,59,48,3.34,2.54,0,22,0,0,22,0,572,118,0,0,0,0,0,0,0,0,0,0.5,0,31.9,13.9,1.6,6.8,0.5,5.9,2.9,0.3,8.8,0,0,0,0,0,52.9,0.2,0,0,0.2,0,32.9,4.1,4.7,18.5,14.6,17.4,6.6,10.1,4.7,11.8,5.6,7.4,161.145111784314
"2775",67,68,28,73,3.34,3.06,0,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,12.1,1.2,6.3,3.3,0.6,0.7,0,0,0,0,0,0,0,0,85.1,2,0,0,1.3,0,33.8,3.9,8.2,7.8,14,18.6,6.8,10.3,7.4,16,6.6,7.6,126.62287916206
"2776",126,43,16,0,2.86,2.05,0,0,0,0,0,0,841,30,0,0,0,0,0,0,0,0,0,0,0,24.6,19.6,0,2.2,0,2,0.7,0,7.2,0,0,0,0,0,64.9,0.4,0,0,0.4,0,23.4,4.4,7.8,34.6,14.3,10.4,1.4,3.9,3.7,6.8,1.8,6.3,83.0814239577545
"2777",0,79,213,0,3.29,2.58,0,0,0,0,0,0,166,49,0,0,0,0,0,0,25,0,0,0,0,6.2,2.3,0.6,1.3,1,0.2,0.7,0.2,3.4,0,0,0,0,0,59.3,1.3,0,0.3,0,0.2,44.9,5.4,4.3,24.7,12.5,13.3,7.6,3.8,2.1,8.7,4.2,10.4,232.948500763211
"2778",26,141,28,47,2.94,2.29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,11.4,0.1,1.4,7.7,2.1,0.1,0,0,3.9,0,0,0,0,0,82.8,1.7,0,0.7,1,0,46,3.1,2.3,14.9,14.2,12.2,5.1,5.8,9.9,28.4,12.4,7.7,200.630247381351
"2779",53,39,46,0,3.13,2.67,0,0,0,0,0,0,154,21,0,0,0,0,0,0,0,0,0,0,0,13.5,3.7,0,0.6,0,8.8,0.5,0,4.5,0,0,0,0,0,81.7,0.3,0,0,0,0.3,39.8,7.7,5.4,6.7,11.7,14.9,4.4,6.7,7.1,27.1,13,6,384.810083171269
"2780",86,84,45,58,2.89,2.18,0.1,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,5.5,0,0.8,1.5,2.4,0.6,0.2,0,0.7,0,0,0,0,0,87.7,0.5,0,0.1,0.4,0,27,4.4,4.7,12,10.4,17.6,2.8,4.1,5.2,31.8,9.6,5.2,312.90284963975
"2781",114,223,94,84,3.21,2.59,0.3,0,0,0,0,0,41,58,0,0,0,0,0,0,0,0,0,0,0,4.7,0.6,0,1.2,0.6,0.5,0.9,0.9,1,0,0,0,0,0,91.7,1,0,0,0,0,45.1,8.3,4.3,10.1,15.6,16.8,7.6,5.6,5,17.9,6.1,6.9,501.664274214302
"2782",106,67,16,101,3.29,2.77,0,0,0,0,0,0,37,80,0,0,0,0,0,0,16,0,0,0,0,12,0.7,6.1,2.8,0,0.9,1.6,0,0.7,0,0,0,0,0,81.6,1.4,0,0.3,0,0.8,24.8,4.4,7.2,10.4,14.1,17.4,3.7,7.2,6.7,22.9,9.4,6.7,475.07449007313
"2783",20,112,66,50,3.16,2.49,0,0,0,0,0,0,298,180,0,0,0,0,0,0,0,0,0,0,0,21.9,6.6,2.7,2.1,0,5.4,4,1,8.9,0,0,0,0,0,58.7,0.3,0,0,0.3,0,28.4,4.2,5,20.6,10.9,14.2,7.8,6,6.5,12.4,4.4,7.6,887.881476187571
"2784",149,133,136,218,3.25,2.21,0.5,0,0,0,0,0,1038,315,0,0,0,0,0,0,21,0,0,0,0,36.5,19.5,1,4.2,0.3,5.6,5.9,0,1.1,0,0,0,0,0,54,1.6,0,0.4,0,0.1,38.2,5.1,2.5,22.2,11.5,17.7,5.1,7.8,3.1,12.9,7.5,5.8,401.901483239096
"2785",20,60,8,78,3.13,2.71,0.6,0,0,0,0,0,261,57,0,0,0,0,0,1,2,0,0,0,0,22,7.7,0.4,0.2,0.4,8.1,1.7,3.5,1.9,0,0,0,0,0,74.7,1,0,0.1,0.6,0.3,27.9,4.5,2.9,9.9,9.7,13.1,5.6,9.8,8.8,29.6,12.5,6,381.246305322948
"2786",99,113,71,34,3.2,2.63,0.8,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,22.7,0,2.9,2.9,1,7.3,7.3,1.3,1.5,0,0,0,0,0,72.4,0.7,0,0,0.7,0,42.6,5.6,3.4,13.7,14.4,16.5,5.8,7.5,4.3,16.2,5.1,10,275.043916223005
"2787",67,48,9,60,3.42,3.06,0,0,0,0,0,0,22,32,0,0,0,0,0,0,0,0,0,0,0,8.8,1.1,5.3,0,0.3,0.5,1.6,0,0.6,0,0,0,0,0,85.8,4.1,0,0,3,1.2,48,7.1,8.5,4.3,15.2,19.4,8.1,5.2,5.3,17.7,9.5,6.9,574.102376337944
"2788",161,22,72,316,3.26,2.39,0,0,0,0,0,0,235,226,0,0,0,0,0,0,25,0,0,0,0,29.9,4.9,3.2,5.1,0.3,11.7,4.7,0,2,0,0,0,0,0,66.4,1.6,0,0.5,1,0,19.8,2,5.5,12.4,11,12.2,2.9,9,5.3,31.6,14.8,5.6,475.67529463114
"2789",127,165,53,0,2.97,2.46,0.4,0,0,0,0,0,19,0,0,0,0,0,0,0,53,0,0,0,0,1,0.5,0.2,0.4,0,0,0,0,1.9,0,0,0,0,0,90.4,6.7,0,1.3,3,1.1,37.7,6.2,6,8.5,14.9,16.1,7.3,8.8,5.8,18.5,8,8.5,251.74751416106
"2790",109,275,77,10,3.05,2.38,0.4,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.7,0.9,0.2,0,0,0,0,1.5,0,0,0,0,0,94.6,1.7,0,0,0.5,0.3,29.6,3.4,7.7,4.5,13.4,13.8,7.1,8,8,28.9,8.6,8.5,250.84137170653
"2791",41,62,25,0,2.95,2.31,0,0,0,0,0,0,63,12,0,0,0,0,0,0,0,0,0,0,0,5.7,1.7,2.5,0.2,0,0.9,0.3,0,4.9,0,0,0,0,0,85.4,2.4,0,0,2.1,0,21.6,4.1,9.8,9.1,14.5,12.1,5.7,8.1,7.1,16.7,8.6,7.3,287.944449619861
"2792",94,297,132,0,3.26,2.38,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.2,0,1.4,0,0.2,0,0,6.8,0,0,0,0,0,88.3,3.1,0,0,1,2.1,38.9,5.4,5.6,7.3,15.9,16.2,7.9,7.3,6.6,18.8,5.6,9.7,193.37217369334
"2793",202,173,35,20,3.33,2.67,0,0,0,0,0,0,34,58,0,0,0,0,0,0,0,0,0,0,0,5.6,0.8,2.9,0,0.2,0.2,1.4,0,2.1,0,0,0,0,0,90.8,1.5,0,0,0,0,39.8,8.8,10.3,3.4,13,20.4,8.2,6.2,5,17.8,5,5.6,322.412951565929
"2794",110,146,57,134,3.29,2.76,0,20,0,0,0,0,38,30,0,0,0,0,0,0,0,0,0,0,0,7.2,0.8,2.3,2.9,0.7,0,0.6,0,0,0,0,0,0,0,90.8,0,0,0,0,0,47.4,9.3,8.7,6.9,12.1,17.7,7,8.2,5,17.2,6.7,6.2,504.52047639604
"2795",244,176,85,51,3.27,2.68,0,0,0,0,0,0,28,18,0,0,0,0,0,0,0,0,0,0,0,4.5,0.5,0.3,2.8,0.6,0,0.3,0,0.4,0,0,0,0,0,93.4,0.9,0,0,0.6,0.3,33.3,5.6,6.9,8.6,12.6,16.9,6.3,4,6,21.8,7.5,9,400.266725222502
"2796",31,171,0,0,2.89,2.31,0,0,0,0,0,0,14,37,0,0,0,0,0,23,17,0,0,0,0,5,0.5,1.5,0,0,1.7,1.3,0,2.5,0,0,0,0,0,87.4,2.9,0.8,0.6,0.5,0,41.6,3.1,5.6,6,12.2,16.3,7.9,14.4,5.9,22.5,12,3.8,94.2345695974269
"2797",268,303,34,102,2.94,2.63,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,11.8,4,4.3,0.8,0.4,2.3,0,0,0,0,0,0,0,0,85.3,1.2,0,0,0.2,0,39.1,6.7,5.4,8.6,11.6,17.5,6.5,11.1,6.2,18.9,11.2,6,685.561678501687
"2798",72,7,110,104,3.19,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.3,0.3,0,0,0,3.5,0,0,0,0,0,94.7,0.2,0,0,0.2,0,39.9,6,7.6,14.1,12.7,14.7,8.2,7.9,4,15.4,8.6,5.3,100.023042616172
"2799",258,39,17,46,3.19,2.49,0.6,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6.7,0,5.2,0,0.3,0.8,0.4,0,0.4,0,0,0,0,0,90.1,1.2,0,0,0.4,0,40.4,3.9,3.5,11,11.3,13,7.8,3.8,5.5,34.7,8.8,5.4,285.261805808261
"2800",255,99,90,0,2.96,2.08,0,1,0,0,0,0,20,0,0,0,0,0,0,0,29,0,0,0,0,8.7,0.4,0.6,1.4,2.7,1.8,0,1.8,0,0,0,0,0,0,85.7,1.3,0,0.5,0.5,0.3,48.9,7.6,4.1,18.4,14.8,14.5,5.4,7.2,4.8,17.9,7.7,5.5,290.878660400729
"2801",136,107,48,212,3.45,3.06,0.5,43,43,0,0,0,242,122,0,0,0,0,0,0,0,0.6,0,0,0,15.6,3.6,3.2,5.6,0,1.4,1.8,0,0,0,0,0,0,0,78.6,0.2,0,0,0.2,0,33.4,6.2,9.3,8.4,15.2,15.9,6.8,7.1,7.2,17.4,8.8,4.4,499.097996613212
"2802",156,252,32,51,2.95,2.36,0,0,0,0,0,0,364,7,0,0,0,0,0,0,29,0,0,0,0,14.4,5.2,2.2,3.2,0.3,3.2,0.1,0.2,0.4,0,0,0,0,0,83.1,1.3,0,0.4,0,0.2,35.2,3.9,2.7,10,12,15.3,5.1,5,9.4,30.3,13.6,6.2,792.198100082045
"2803",85,48,12,0,2.99,2.64,0,0,0,0,0,0,35,0,0,0,0,0,0,0,22,0,0,0,0,4.8,2.3,0,1,0,1.4,0,0,0,0,0,0,0,0,90.7,4.5,0,1.4,0,0,38.2,4.5,1.8,11,10.5,21.7,5.5,10.6,1.2,22.9,14.3,5.9,192.670325540573
"2804",70,96,16,0,3.42,2.95,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,8.5,1.4,0.6,1.2,0.3,5,0,0,0,0,0,0,0,0,88.6,2.9,0,0,2.4,0,46.9,8.6,9.1,4.2,12.1,18.3,9.6,7,5.5,20.2,9.7,3.5,481.316685205411
"2805",162,139,25,0,3.47,3.11,0.3,0,0,0,0,0,6,58,0,0,0,0,0,0,0,0,0,0,0,5.5,0.1,0.5,0.2,0,3.5,1.2,0,0,0,0,0,0,0,93.2,1.1,0,0,1.1,0,39.5,10.4,11,2.7,13.3,21.8,8,6.3,4.3,15.5,5.2,6.3,438.869491739267
"2806",156,59,6,2,3.54,3.24,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0.9,0.5,0.4,0,0,0,0,0,0.7,0,0,0,0,0,98.2,0.2,0,0.2,0,0,50.6,14.7,9,1.6,12.4,19.8,8.9,7.9,4.6,16.2,6.6,5.4,432.492240166701
"2807",115,182,136,44,3.1,2.32,0,0,0,0,0,0,71,43,0,0,0,0,0,0,0,0,0,0,0,9.2,1.3,1.6,1.4,1.2,3,0.8,0,0.2,0,0,0,0,0,87.4,1.7,0,0,1.3,0,32.2,4.2,6.3,15.7,13.5,17.6,4.2,4.6,5.5,15.3,6.4,8.4,284.591407403496
"2808",46,75,69,0,2.88,1.94,0,0,0,0,0,0,39,13,0,0,0,0,0,0,0,0,0,0,0,5.8,1.5,3.4,0,0,0.4,0.5,0,0,0,0,0,0,0,92,2.1,0,0,0.5,0,18.1,3.3,4.9,15.4,15.7,19.4,1.6,5.2,8.8,15,4.9,10.4,186.827940440055
"2809",184,187,26,38,2.97,2.34,0.5,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,3.7,1.2,0,1.3,0,1,0,0.3,3.3,0,0,0,0,0,90.9,1.5,0,0,1.1,0.4,32.4,5,5.1,14.3,12.2,16.5,5.5,9.8,5.7,14.2,4.1,5.5,255.181262582956
"2810",88,73,35,0,3.02,2.34,0,0,0,0,0,0,259,22,0,0,0,0,0,0,0,0,0,0,0,17.2,12.6,0.4,1.1,1.4,0.6,1.1,0,1.5,0,0,0,0,0,77,3.1,0,0,3.1,0,32.6,5.5,5.2,15.9,14.8,11.1,5.2,4.1,5.1,24.5,10,10.7,99.5933217308835
"2811",156,140,66,159,3.07,2.58,0,15,0,15,0,0,801,192,0,0,0,0,0,0,0,0,0.2,0,0,18.1,13.3,0.9,0.3,0,0.5,3.2,0,1.6,0,0,0,0,0,75.3,0.6,0,0,0,0,27.3,3.6,6.3,14.9,12.9,16.6,3.6,6.3,5.7,22,7.5,4.8,186.015052116532
"2812",341,227,113,25,3.32,2.81,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10.6,0,1.1,0.9,0,8.6,0,0,0,0,0,0,0,0,88,0.6,0,0.2,0,0.4,41.2,9.6,8.3,8,15.5,19.2,7,5.4,3.1,12.8,8,7.5,586.422985427231
"2814",25,10,0,21,3.02,2.23,1.3,0,0,0,0,0,180,18,0,0,0,0,0,0,0,0,0,0,0,13.7,7.9,0.6,0,0,4.5,0.8,0,5.5,0,0,0,0,0,75.9,0.8,0,0,0.8,0,35.9,5.4,7.6,23.8,15,12.6,1.8,8.1,9,14.1,3.2,6.9,130.67607901233
"2815",14,12,38,70,3.49,2.63,0.7,0,0,0,0,0,95,40,0,0,0,0,0,0,0,0,0,0,0,14.9,2.7,4.4,5.6,0,1,1.1,0,10.2,0,0,0,0,0,73.2,1.2,0,0,0,0.3,55,4.6,3.6,28.2,18,7.4,10.8,4.7,3.1,7.6,4.4,6.5,62.3279828466603
"2816",235,191,32,0,2.86,2.51,0.5,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,7.5,0,2.6,1.1,0.5,2.2,1.1,0,0,0,0,0,0,0,92.1,0.4,0,0,0.4,0,36.2,7.1,4.8,9.3,15,17.3,5.8,10.3,6.5,18.2,8.1,4.6,234.832071213115
"2817",159,23,123,27,3.51,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,99.6,0,0,0,0,0,42.7,8.3,6.4,10.4,16.9,15.6,7.3,4.8,5.1,14.4,5.5,6.4,94.1411844449329
"2818",9,28,43,25,3.26,2.5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7,0.6,0,0.3,0,0.4,48.1,10.5,4.1,16.4,17.5,12.2,7,8.1,3.6,13,5.9,6.9,42.1907348978218
"2819",49,48,45,84,3.64,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7,0,0,0,0,0,2.2,0,0,0,0,0,36.3,7.8,12.2,10.5,12.3,12,7,3,5.5,25.1,11.8,5.8,272.836332083173
"2820",0,89,20,94,3.98,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7,0,0,0,0,0,1.1,0.3,0,0,0,0,43.4,5.6,5.9,17.6,17.8,9.1,8,5.1,3.3,19.9,9.9,6.7,77.1565946705706
"2821",9,8,0,83,3.56,2.69,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,1.3,0.3,0,0,0,0.3,0.7,0,94.4,0,0,0,0,0,2.6,0.6,0,0,0,0,20.2,6.2,14.9,8.1,10.8,12.6,6.5,5.7,2.3,18.8,4.1,4,125.828979754944
"2822",0,0,10,24,3.19,2.52,0,0,0,0,0,0,40,0,0,0,0,0,0,26,0,0,0,0,0,3,3,0,0,0,0,0,0,94.7,0,0,0,0,0,0.3,2,2,0,0,0,46.8,8.9,3.4,10.5,14.7,11.3,8.1,7.3,4.2,25.2,11.6,4.3,101.386831843807
"2823",11,29,48,363,3.81,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,95.7,0,0,0,0,0,2.9,1,0.7,0,0,0,38.3,7.6,7.9,7.5,12.8,13.6,4.6,5.9,7.7,26.2,8.4,3.5,221.409655942884
"2824",28,37,62,50,3.2,2.22,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1.1,0,0,0,0,4.6,0,0,0,0,0,90.3,1.3,0,0,0.6,0.7,47.2,5.5,2.4,11.2,12.4,13.6,5.6,9.6,4,23.8,7.3,5.6,110.775269640755
"2825",77,52,37,62,3.35,2.86,0,0,0,0,0,0,0,50,0,0,0,0,0,0,13,0,0,0,0,1.2,0,0,0,0,0.1,1.1,0,1.6,0,0,0,0,0,91.9,0.3,0,0.3,0,0,30.2,5.9,9.4,9.9,12.7,18,5.2,5.1,4.2,14.5,4.1,5.3,308.70211165894
"2826",0,0,0,90,3.4,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,97.9,0,0,0,0,0,0,2.1,1.7,0,0,0,17.7,6.1,18.8,7.9,18.7,15.4,1.6,4,7.5,18.6,8.7,1.5,5.48622912832699
"2827",18,54,47,162,4.39,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1,0,0,0,0,0,0,0.9,0,0,0,0.5,42.8,6.5,11.8,11.3,7.5,19.8,8.1,2.7,3.4,16.9,8,8.1,21.6018781814488
"2828",19,34,0,38,3.22,2.73,0.7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0,99.1,0,0,0,0,0,0.2,0,0,0,0,0,34.6,9.1,9.7,11.6,10.9,15.1,3.3,8.8,5.1,22.6,9.2,2.7,38.6890486499585
"2829",0,0,19,108,3.7,3,0,0,0,0,0,0,0,10,0,0,0,0,0,39,21,0,0,0,0,0.6,0,0,0,0,0,0.6,0,93.4,0,0,0,0,0,1.6,4.5,2.2,1.2,0,0,42.9,7.7,7.1,14,8.2,23.3,6.3,4.5,1.9,17.4,8.7,5.8,8.26689705709441
"2830",0,12,101,35,3.69,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,50.5,0.8,0,0,0,0,39,10.3,7,15.4,11.1,7.2,6.1,4.7,2.8,13.3,5.6,14.1,8.96241463543156
"2831",5,24,74,107,4.27,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,45.3,13.3,12.5,9.5,16.6,13.7,7.2,3.8,0.6,5.7,1.9,11.2,28.7823862002047
"2833",26,0,25,89,4.4,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,99.6,0,0,0,0,0,0,0.4,0.4,0,0,0,53.4,10.6,11.3,16.5,7.6,14.1,5.8,6.4,4.7,17.7,7.5,5.5,3.09626953586547
"2834",0,0,38,118,3.84,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,39.8,6.7,8.3,7.9,12.7,15.4,9.8,8.4,3.2,17.6,6.6,6.5,8.50722180092543
"2836",10,33,35,108,3.36,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1,0,0,0,0,0,0,1.9,0.3,0,0,0.7,42.3,10.1,8.6,14.2,10,14.4,4.6,7.7,6.9,11.6,5.6,6.4,25.7162456219221
"2837",26,0,23,17,3.23,2.49,0,12,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.6,0.9,0,0.9,0,0,2,0,0,0,0,0,49.5,9.7,8.1,12.7,17.3,10.3,7.5,8.1,7.3,16.3,5.9,6,19.1003182320283
"2838",135,24,142,32,3.49,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,90.2,0,0,0,0,0,1.7,8.2,6.6,0,0,1.1,37.2,9.5,7.6,10.4,17.3,10.5,8.1,5.7,1.8,9.7,5.4,9.4,11.7228202586197
"2839",12,14,6,6,2.92,2.26,0,0,0,0,0,0,20,56,0,0,0,0,0,0,0,0,0,0,0,12.3,1.1,5.5,0,0,2.5,3.1,0,57,0,0,0,0,0,29.1,0.3,0,0,0,0,29.1,9.9,21.7,13,9.8,11.3,7,5.6,3.8,4,0.6,4.1,21.7837776743546
